1509.81,913.894
1629.45,864.969
1770.7,816.191
1930.32,773.197
2102.35,741.542
2274.53,727.277
2434.27,732.758
1504.32,1030.38
1630.52,987.685
1783.04,944.699
1957.89,906.733
2147.44,879.874
2335.84,870.258
2506.61,879.924
1498.46,1163.75
1630.68,1131.99
1792.6,1100.09
1981.4,1071.99
2186.94,1054.15
2389.77,1050.98
2569.01,1064.09
1493.36,1313.17
1629.11,1297.31
1797.45,1282.06
1995.84,1269.95
2213.05,1264.97
2425.13,1269.44
2609.35,1283.71
1489.14,1470.05
1625.42,1473.41
1795.32,1479.01
1995.98,1486.76
2215.81,1497.16
2430.04,1509.27
2615.37,1522.49
1485.9,1626.57
1619.82,1648.81
1785.44,1674.16
1980.45,1700.77
2192.9,1725.44
2401.48,1744.99
2583.35,1756.32
1484.07,1774.51
1612.81,1811.89
1769.99,1853.03
1952.41,1893.65
2150.75,1929.2
2346.66,1954.02
2521.69,1965.61
1483.19,1907.07
1605.29,1954.98
1751.51,2005.31
1918.59,2053.96
2099.16,2095.37
2279.19,2124.09
2444.53,2136.55
1483.34,2022.05
1597.93,2074.91
1732.56,2129.56
1884.2,2181.22
2046.77,2224.95
2210.48,2255.47
2363.67,2270.43
1483.98,2119.63
1591.18,2174.42
1714.59,2229.53
1851.62,2281.33
1998.06,2324.63
2145.88,2356.11
2287.06,2372.54
